id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,parking_spaces
110,청명센트레빌,경기도 수원시 영통구 영통동 1166,아파트,25평형,84.9466,39100.0,7.5,2013,영통로525번길 35,12,78,20,0,0,,기타,개별난방,20130604,20130604,0
111,myown,경기도 수원시 영통구 영통동 1025-7,아파트,5평형,17.6735,642.8571428571429,53.714285714285715,2014,청명로 8,7,88,13,1,0,,기타,개별난방,20140530,20140530,0
112,신나무실미주,경기도 수원시 영통구 영통동 965-2,아파트,40평형,134.78,46575.0,49.0,1999,매영로310번길 27,6,80,20,0,0,,기타,개별난방,19991229,19991229,0
113,영통마크타워,경기도 수원시 영통구 영통동 1025-6,아파트,6평형,21.89,1444.4444444444443,65.33333333333333,2017,청명로 10,9,99,14,1,0,,기타,개별난방,20170117,20170117,0
114,현대,경기도 수원시 영통구 영통동 989-2,아파트,40평형,134.76,56450.0,34.3,1998,매영로 366,11,80,20,0,0,,기타,개별난방,19980528,19980528,0
115,신나무실건영,경기도 수원시 영통구 영통동 966-2,아파트,30평형,99.96,51611.11111111111,25.0,2000,매영로 346,9,68,17,2,0,,기타,개별난방,20000720,20000720,0
116,I-CITY,경기도 수원시 영통구 영통동 1024-9,아파트,4평형,15.12,1825.0,42.9,2013,덕영대로 1703,20,84,10,1,0,,기타,개별난방,20131226,20131226,0
117,신나무실신원,경기도 수원시 영통구 영통동 965-2,아파트,30평형,101.714,36681.25,83.57142857142857,1999,매영로310번길 27,8,80,20,0,0,,기타,개별난방,19991229,19991229,0
118,영통센트럴파크뷰,경기도 수원시 영통구 영통동 948-4,아파트,17평형,59.39,28666.666666666668,0.0,1999,영통로514번길 53,3,80,20,0,0,,기타,개별난방,19990503,19990503,0
119,신나무실극동,경기도 수원시 영통구 영통동 967-2,아파트,22평형,75.69,32195.714285714286,19.153846153846153,1999,봉영로1517번길 30,14,68,17,0,0,,기타,개별난방,19990930,19990930,0
