id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,latitude,longitude,school_walking_time,station_walking_time
60,(265-14),경기 용인시 기흥구 서천동 265-14,오피스텔,원룸,28.11,15500.0,0,2022,경기 용인시 기흥구 서그내로 63,1,20,4,1,0,,기타,개별난방,20220321,20220321,37.2420663908538,127.072269728982,16,27
61,시우하이빌,경기 용인시 기흥구 서천동 373-14,오피스텔,쓰리룸,47.73,18000.0,0,2024,경기 용인시 기흥구 예현로35번길 32,1,21,4,0,0,,기타,개별난방,20240208,20240208,37.2413842827476,127.066291811293,23,24
62,단독다가구_1***,경기 수원시 영통구 영통동 1,단독다가구,원룸형,26.33,1692.1854684512427,33.45124282982792,2000,경기 수원시 영통구 삼성로320번길 129,523,0,0,0,0,,기타,개별난방,,,37.2661267767471,127.074304654188,58,45
63,단독다가구_9**,경기도 수원시 영통구 영통동 9**,단독다가구,원룸형,23.8,2483.519553072625,28.117977528089888,2023,경기 수원시 영통구 봉영로1492번길,179,0,0,0,0,,기타,개별난방,,,37.245525698404,127.067511109648,18,15
64,단독다가구_7*,경기도 수원시 영통구 영통동 7*,단독다가구,원룸형,21.84,12000.0,19.0,2022,경기 수원시 영통구 영통로351번길,5,0,0,0,0,,기타,개별난방,,,37.257332542079,127.06474216443,29,16
65,단독다가구_6*,경기도 수원시 영통구 영통동 6*,단독다가구,원룸형,20.0,3950.0,20.0,2001,경기 수원시 영통구 영통로,2,0,0,0,0,,기타,개별난방,,,37.2538213079274,127.062484635257,45,19
66,단독다가구_2**,경기도 용인시 기흥구 서천동 2**,단독다가구,원룸형,25.0,1079.2207792207791,40.98701298701299,1995,경기 용인시 기흥구 서그내로53번길,77,0,0,0,0,,기타,개별난방,,,37.2415169034264,127.071726204875,20,31
67,단독다가구_3**,경기도 용인시 기흥구 서천동 3**,단독다가구,원룸형,26.45,1441.3333333333333,34.82666666666667,2021,경기 용인시 기흥구 서그내로53번길,75,0,0,0,0,,기타,개별난방,,,37.2415169034264,127.071726204875,20,31
68,단독다가구_7**,경기 용인시 기흥구 서천동 7,단독다가구,원룸형,29.7,2132.5,39.775,2014,경기 용인시 기흥구 서그내로15번길 33,40,0,0,0,0,,기타,개별난방,,,37.2468547692458,127.076918074489,2,25
69,단독다가구_4**,경기도 용인시 기흥구 서천동 4**,단독다가구,원룸형,26.0,400.0,40.0,1998,경기 용인시 기흥구 서그내로62번길,2,0,0,0,0,,기타,개별난방,,,37.2424779757669,127.069582815255,24,26
70,단독다가구_*,경기 용인시 기흥구 서천동,단독다가구,원룸형,17.0,1000.0,34.666666666666664,1994,서그내로15번길,3,0,0,0,0,,기타,개별난방,,,37.2430149989299,127.072437437369,17,28
