시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,GS25기흥밸리점,20221025,영업,,,,,편의점,"경기도 용인시 기흥구 기흥로 58, B동 B102호 (구갈동)",경기도 용인시 기흥구 구갈동 681 B동 B102호,16976,37.2804349846,127.1180980949
용인시,씨유용인지산휴게소점,20160202,영업,,,,,편의점,"경기도 용인시 처인구 양지면 죽양대로 2004-2, B동 1층",경기도 용인시 처인구 양지면 평창리 646-21 ,17163,37.2159068107,127.3212432299
용인시,세븐일레븐 용인진우타운점,20221027,영업,,,,,편의점,"경기도 용인시 처인구 중부대로 1142-1, 진우아파트 상가1 308일부호 (삼가동)",경기도 용인시 처인구 삼가동 265 진우아파트 ,17091,37.2384427857,127.1704194954
용인시,씨유용인고림점,20221021,영업,,,,,편의점,"경기도 용인시 처인구 한터로 126, 1층 일부 (고림동)",경기도 용인시 처인구 고림동 360-3 ,17149,37.2497682896,127.2249005449
용인시,세븐일레븐 용인백암리점,20221024,영업,,,,,편의점,"경기도 용인시 처인구 백암면 근창로 23, 1층 일부호",경기도 용인시 처인구 백암면 백암리 436-5 ,17178,37.1640062272,127.3721625748
용인시,씨유 수지우남점,2021-07-28,영업,,,,,편의점,"경기도 용인시 수지구 신봉1로 11, 서홍마을우남퍼스트빌아파트 521(B상가)동 1층 101호 일부호 (신봉동)",경기도 용인시 수지구 신봉동 905 서홍마을우남퍼스트빌아파트 ,16845,37.3191981853,127.0817634547
용인시,씨유양지평창로점,20210806,영업,,,,,편의점,"경기도 용인시 처인구 양지면 평창로 96, 1층 일부",경기도 용인시 처인구 양지면 평창리 237-2 ,17163,37.2324260937,127.3189270176
용인시,씨유 수지단대점,20130320,영업,,,,,편의점,"경기도 용인시 수지구 죽전로168번길 7, 승은프라자 1층 106호 일부호 (죽전동)",경기도 용인시 수지구 죽전동 1341 승은프라자 ,16889,37.3254735605,127.1253198321
용인시,세븐일레븐용인일번가점,2022-02-11,영업,,,,,편의점,"경기도 용인시 처인구 금령로 86, 시네마일번지 1층 108호 (김량장동)",경기도 용인시 처인구 김량장동 301-3 시네마일번지 1층 108호,17051,37.2350836470,127.2058223717
용인시,GS25용인참새미점,20171012,영업,,,,,편의점,"경기도 용인시 처인구 양지면 중부대로2565번길 2, A동 (1층 일부)","경기도 용인시 처인구 양지면 제일리 51 외 2필지, A동 , 1층 일부 ",17162,37.2444246855,127.3195071737
용인시,세븐일레븐 용인양지밸리점,20210830,영업,,,,,편의점,"경기도 용인시 처인구 양지면 한터로 542, A동 1층 일부",경기도 용인시 처인구 양지면 대대리 405-3 A동 1층 일부 ,17039,37.2619590873,127.2642945173
용인시,세븐일레븐용인원삼점,20170914,영업,,,,,편의점,경기도 용인시 처인구 원삼면 죽양대로 1774 (1층 일부),경기도 용인시 처인구 원삼면 맹리 559-5 1층 일부 ,17166,37.1946949916,127.3262059932
용인시,이마트24기흥구청점,20210827,영업,,,,,편의점,"경기도 용인시 기흥구 구갈로60번길 9-1, 라파빌딩 1층 일부호 (구갈동)",경기도 용인시 기흥구 구갈동 354 라파빌딩 1층 일부호 ,16972,37.2800466820,127.1123357653
