사업장명,소재지지번주소,소재지도로명주소,영업상태명,위생업태명,WGS84위도,WGS84경도,지역구분
세븐일레븐 수원등기국점,경기도 수원시 영통구 영통동 961-6 영통트리플렉스 ,"경기도 수원시 영통구 매영로345번길 7, 영통트리플렉스 1층 131호 (영통동)",영업,편의점,37.252771725,127.0708997024,영통구
씨유 화서행복로또점,경기도 수원시 팔달구 화서동 134-1 ,"경기도 수원시 팔달구 화양로 10, 1층 (화서동)",영업,편의점,37.2796111232,126.9987338391,팔달구
세븐일레븐 수원신원로점,경기도 수원시 영통구 신동 334-41 우크빌 S동 ,"경기도 수원시 영통구 신원로136번길 30, 우크빌 S동 지1층 (신동)",영업,편의점,37.2480705629,127.0549262487,영통구
지에스25 영통반달공원점,경기도 수원시 영통구 영통동 1014-15 ,"경기도 수원시 영통구 영일로 26, 1층 101호 (영통동)",영업,편의점,37.2496295898,127.0769501076,영통구
씨유(CU) 수원고등타운점,경기도 수원시 팔달구 고등동 54-34 ,"경기도 수원시 팔달구 고등로71번길 19-1, 1층 (고등동)",영업,편의점,37.2742547026,127.0046459779,팔달구
이마트24R 수원상송점,경기도 수원시 권선구 오목천동 946 상송마을주공아파트 ,"경기도 수원시 권선구 오목천로 15, 상가동 101호 (오목천동, 상송마을주공아파트)",영업,편의점,37.2407733916,126.9644911747,권선구
씨유 경기도청점,경기도 수원시 팔달구 고등동 3-5 성원타운 ,"경기도 수원시 팔달구 고화로 100, 가동 101호 (고등동, 성원타운)",영업,편의점,37.2783288645,127.0067737821,팔달구
세븐일레븐 수원오목청구점,경기도 수원시 권선구 오목천동 381 청구2차아파트 ,"경기도 수원시 권선구 매송고색로506번길 17, 상가동 1층 107,108호 (오목천동, 청구2차아파트)",영업,편의점,37.2438712478,126.9618534669,권선구
지에스25고색태산,경기도 수원시 권선구 고색동 385-3 ,"경기도 수원시 권선구 매송고색로691번길 6, 1층 (고색동)",영업,편의점,37.2510197198,126.980103616,권선구
씨유 영통푸르지오점,경기도 수원시 영통구 망포동 234-9 영통푸르지오트레센츠 ,"경기도 수원시 영통구 태장로36번길 8, 1층 105,106,107호 (망포동, 영통푸르지오트레센츠)",영업,편의점,37.237297342,127.0497584511,영통구
세븐일레븐 영통2단지점,경기도 수원시 영통구 영통동 948-4 영통 센트럴파크뷰 ,"경기도 수원시 영통구 영통로514번길 53, 상가동 1층 101호 (영통동, 영통 센트럴파크뷰)",영업,편의점,37.2648666466,127.0804513356,영통구
GS25 광교대림점,경기도 수원시 영통구 이의동 1326 e편한세상 광교 ,"경기도 수원시 영통구 센트럴타운로 76, 2동 1층 103호 (이의동, e편한세상 광교)",영업,편의점,37.2905660258,127.0559170635,영통구
씨유 뉴수원역자이남문점,경기도 수원시 팔달구 고등동 310 수원역푸르지오자이 ,"경기도 수원시 팔달구 고등로 15, 근린생활시설1동 지1층 1호 (고등동, 수원역푸르지오자이)",영업,편의점,37.273331607,126.9994860766,팔달구
씨유 수원수정점,경기도 수원시 팔달구 고등동 64-5 ,"경기도 수원시 팔달구 고매로19번길 4, 1층 (고등동)",영업,편의점,37.2714525817,127.0049350348,팔달구
